BFS-Nr;Gemeinde;Wohnbevoelkerung (STATPOP) 2015-12-31
1;Aeugst am Albis;1981
2;Affoltern am Albis;11708
3;Bonstetten;5326
4;Hausen am Albis;3477
5;Hedingen;3660
6;Kappel am Albis;1033
7;Knonau;2097
8;Maschwanden;641
9;Mettmenstetten;4669
10;Obfelden;5009
11;Ottenbach;2569
12;Rifferswil;1057
13;Stallikon;3455
14;Wettswil am Albis;4920
21;Adlikon;662
22;Benken (ZH);860
23;Berg am Irchel;573
24;Buch am Irchel;966
25;Dachsen;1988
26;Dorf;624
27;Feuerthalen;3567
28;Flaach;1359
29;Flurlingen;1438
30;Andelfingen;2170
31;Henggart;2249
32;Humlikon;504
33;Kleinandelfingen;2082
34;Laufen-Uhwiesen;1634
35;Marthalen;1956
36;Oberstammheim;1174
37;Ossingen;1426
38;Rheinau;1321
39;Thalheim an der Thur;904
40;Trüllikon;1015
41;Truttikon;473
42;Unterstammheim;926
43;Volken;339
44;Waltalingen;678
51;Bachenbülach;4034
52;Bassersdorf;11580
53;Bülach;19393
54;Dietlikon;7625
55;Eglisau;5025
56;Embrach;9139
57;Freienstein-Teufen;2305
58;Glattfelden;4955
59;Hochfelden;1994
60;Höri;2645
61;Hüntwangen;1014
62;Kloten;18452
63;Lufingen;2072
64;Nürensdorf;5468
65;Oberembrach;1079
66;Opfikon;18617
67;Rafz;4344
68;Rorbas;2743
69;Wallisellen;15662
70;Wasterkingen;573
71;Wil (ZH);1381
72;Winkel;4246
81;Bachs;585
82;Boppelsen;1323
83;Buchs (ZH);6294
84;Dällikon;3952
85;Dänikon;1890
86;Dielsdorf;5921
87;Hüttikon;881
88;Neerach;3047
89;Niederglatt;4768
90;Niederhasli;9100
91;Niederweningen;2853
92;Oberglatt;6818
93;Oberweningen;1800
94;Otelfingen;2784
95;Regensberg;468
96;Regensdorf;18036
97;Rümlang;7774
98;Schleinikon;722
99;Schöfflisdorf;1396
100;Stadel;2205
101;Steinmaur;3395
102;Weiach;1379
111;Bäretswil;4974
112;Bubikon;7019
113;Dürnten;7421
114;Fischenthal;2420
115;Gossau (ZH);9758
116;Grüningen;3371
117;Hinwil;10848
118;Rüti (ZH);12047
119;Seegräben;1432
120;Wald (ZH);9447
121;Wetzikon (ZH);24407
131;Adliswil;18605
132;Hirzel;2148
133;Horgen;20207
134;Hütten;898
135;Kilchberg (ZH);8098
136;Langnau am Albis;7452
137;Oberrieden;5037
138;Richterswil;13198
139;Rüschlikon;5674
140;Schönenberg (ZH);1864
141;Thalwil;17747
142;Wädenswil;21621
151;Erlenbach (ZH);5470
152;Herrliberg;6295
153;Hombrechtikon;8485
154;Küsnacht (ZH);13830
155;Männedorf;10593
156;Meilen;13531
157;Oetwil am See;4669
158;Stäfa;14178
159;Uetikon am See;5988
160;Zumikon;5172
161;Zollikon;12753
172;Fehraltorf;6307
173;Hittnau;3614
174;Illnau-Effretikon;16327
175;Kyburg;407
176;Lindau;5388
177;Pfäffikon;11454
178;Russikon;4292
180;Weisslingen;3261
181;Wila;1931
182;Wildberg;1006
191;Dübendorf;26844
192;Egg;8388
193;Fällanden;8356
194;Greifensee;5374
195;Maur;9890
196;Mönchaltorf;3677
197;Schwerzenbach;5001
198;Uster;33886
199;Volketswil;18536
200;Wangen-Brüttisellen;7727
211;Altikon;655
213;Brütten;2016
214;Dägerlen;1014
215;Dättlikon;745
216;Dinhard;1494
217;Elgg;4218
218;Ellikon an der Thur;885
219;Elsau;3480
220;Hagenbuch;1104
221;Hettlingen;3114
222;Hofstetten (ZH);481
223;Neftenbach;5513
224;Pfungen;3757
225;Rickenbach (ZH);2598
226;Schlatt (ZH);738
227;Seuzach;7211
228;Turbenthal;4472
230;Winterthur;108268
231;Zell (ZH);5700
241;Aesch (ZH);1197
242;Birmensdorf (ZH);6254
243;Dietikon;26711
244;Geroldswil;4868
245;Oberengstringen;6575
246;Oetwil an der Limmat;2369
247;Schlieren;18453
248;Uitikon;4112
249;Unterengstringen;3648
250;Urdorf;9688
251;Weiningen (ZH);4513
261;Zürich;396955
297;Bauma;4842
298;Wiesendangen;6226
301;Aarberg;4529
302;Bargen (BE);995
303;Grossaffoltern;2999
304;Kallnach;1905
305;Kappelen;1350
306;Lyss;14341
307;Meikirch;2386
309;Radelfingen;1256
310;Rapperswil (BE);2425
311;Schüpfen;3719
312;Seedorf (BE);3002
321;Aarwangen;4408
322;Auswil;471
323;Bannwil;699
324;Bleienbach;677
325;Busswil bei Melchnau;170
326;Gondiswil;737
329;Langenthal;15447
331;Lotzwil;2514
332;Madiswil;3218
333;Melchnau;1557
334;Obersteckholz;410
335;Oeschenbach;241
336;Reisiswil;188
337;Roggwil (BE);3928
338;Rohrbach;1413
339;Rohrbachgraben;394
340;Rütschelen;571
341;Schwarzhäusern;501
342;Thunstetten;3258
344;Ursenbach;911
345;Wynau;1620
351;Bern;131554
352;Bolligen;6138
353;Bremgarten bei Bern;4385
354;Kirchlindach;2900
355;Köniz;40214
356;Muri bei Bern;12984
357;Oberbalm;883
358;Stettlen;3149
359;Vechigen;5252
360;Wohlen bei Bern;8987
361;Zollikofen;10217
362;Ittigen;11390
363;Ostermundigen;16788
371;Biel/Bienne;54163
372;Evilard;2552
381;Arch;1540
382;Büetigen;833
383;Büren an der Aare;3537
385;Diessbach bei Büren;996
386;Dotzigen;1455
387;Lengnau (BE);4956
388;Leuzigen;1251
389;Meienried;52
390;Meinisberg;1328
391;Oberwil bei Büren;830
392;Pieterlen;4034
393;Rüti bei Büren;840
394;Wengi;609
401;Aefligen;1067
402;Alchenstorf;602
403;Bäriswil;1023
404;Burgdorf;16228
405;Ersigen;1687
406;Hasle bei Burgdorf;3353
407;Heimiswil;1607
408;Hellsau;201
409;Hindelbank;2414
410;Höchstetten;270
411;Kernenried;527
412;Kirchberg (BE);5817
413;Koppigen;2126
414;Krauchthal;2335
415;Lyssach;1422
416;Mötschwil;137
417;Niederösch;235
418;Oberburg;2909
419;Oberösch;104
420;Rüdtligen-Alchenflüh;2435
421;Rumendingen;84
422;Rüti bei Lyssach;171
423;Willadingen;203
424;Wynigen;2011
431;Corgémont;1677
432;Cormoret;482
433;Cortébert;710
434;Courtelary;1360
435;La Ferrière;544
437;Mont-Tramelan;116
438;Orvin;1195
